id_client,sex,marital_status,age,flag_res_phone,area_code_res_phone,payment_day,residence_type,months_in_residence,months_in_the_job,profession_code,flag_other_card,flag_mobile_phone,flag_contact_phone,personal_net_income,quant_add_cards,bad
211,F,S,31,Y,31,12,P,240,72,999,N,N,N,1230,0,0
213,F,S,18,N,50,18,C,48,0,251,N,N,N,200,0,0
214,M,C,39,N,50,12,P,240,180,999,N,N,N,1000,0,0
216,M,S,30,Y,50,12,C,96,144,514,N,N,N,863,0,1
217,M,O,34,Y,31,12,P,324,24,26,N,N,N,280,0,0
218,M,S,21,Y,50,18,C,36,24,218,N,N,N,247,0,0
219,F,S,39,N,31,8,A,48,36,205,N,N,N,300,0,0
220,M,S,20,Y,31,16,P,240,12,999,N,N,N,450,0,0
222,F,S,21,N,50,12,P,12,12,703,N,N,N,700,0,1
223,F,D,45,Y,31,20,P,276,12,205,N,N,N,203,0,0
224,F,C,58,Y,31,28,P,276,0,999,N,N,N,300,0,0
226,M,C,53,Y,31,8,P,336,0,13,N,N,N,1040,0,1
227,M,S,18,Y,23,18,C,24,0,999,N,N,N,200,0,0
229,M,C,36,Y,50,8,P,108,12,707,N,N,N,204,0,1
231,F,C,41,Y,31,12,P,204,0,123,N,N,N,300,0,0
232,M,C,24,Y,31,8,P,168,48,26,N,N,N,321,0,0
234,F,S,23,Y,31,12,C,276,0,999,N,N,N,0,0,0
235,F,O,38,Y,31,12,A,12,0,205,N,N,N,360,0,0
236,F,S,35,Y,31,12,P,48,24,26,N,N,N,390,0,0
239,F,S,41,Y,31,1,C,36,24,38,N,N,N,559,0,0
241,F,C,26,N,50,20,P,24,24,728,N,N,N,3000,0,0
242,F,S,33,Y,50,25,P,60,12,26,N,N,N,340,0,1
243,F,S,24,Y,31,8,A,24,12,61,N,N,N,200,0,1
244,F,C,39,Y,31,28,P,360,0,999,N,N,N,180,0,0
247,M,S,18,Y,31,1,P,180,12,24,N,N,N,360,0,0
249,F,S,17,Y,31,28,P,36,12,801,N,N,N,180,0,0
253,F,C,39,Y,33,20,P,204,24,305,N,N,N,1285,2,0
257,F,O,42,N,31,28,P,240,24,950,N,N,N,550,0,0
266,M,C,33,Y,31,18,P,360,108,158,N,N,N,560,0,0
267,F,S,16,N,5,12,P,168,0,853,N,N,N,227,0,0
269,F,C,38,Y,50,25,P,60,60,166,N,N,N,300,0,0
272,F,D,47,Y,31,12,P,336,120,717,N,N,N,1500,0,0
273,M,S,28,N,50,20,P,336,96,60,N,N,N,180,0,0
279,F,S,22,Y,50,8,C,276,24,654,N,N,N,500,0,1
283,F,S,30,Y,5,25,C,324,12,654,N,N,N,326,0,1
284,M,S,27,Y,31,3,P,132,12,12,N,N,N,1246,0,0
286,M,S,27,N,31,20,P,96,24,13,N,N,N,271,0,0
291,F,C,41,Y,31,20,P,240,0,999,N,N,N,0,0,1
294,F,S,28,N,50,18,P,324,12,654,N,N,N,300,0,0
303,F,O,34,N,50,18,P,408,12,999,N,N,N,270,0,0
307,M,S,40,Y,31,18,P,384,24,13,N,N,N,225,0,0
309,M,S,21,Y,31,18,P,252,12,39,N,N,N,264,0,1
310,M,S,31,N,50,12,P,48,12,39,N,N,N,402,0,1
311,M,S,38,Y,31,12,P,120,0,123,N,N,N,507,0,0
320,M,S,59,Y,31,18,P,240,264,100,N,N,N,1080,0,0
321,F,S,38,Y,50,8,P,168,60,918,N,N,N,526,1,1
323,F,C,24,Y,31,12,P,252,0,720,N,N,N,0,0,1
325,M,C,24,Y,5,8,P,72,84,950,N,N,N,900,0,1
326,M,S,28,Y,31,12,A,108,24,118,N,N,N,185,0,0
330,M,S,18,Y,5,3,P,216,12,60,N,N,N,180,0,0
332,F,C,20,Y,31,18,O,48,48,205,N,N,N,270,0,0
333,M,S,19,N,50,12,P,60,12,26,N,N,N,177,0,0
334,F,C,20,N,50,28,P,12,12,165,N,N,N,100,0,1
335,F,S,35,Y,31,20,C,84,144,999,N,N,N,480,0,0
337,M,S,42,Y,31,25,P,60,12,706,N,N,N,400,0,0
340,F,S,32,Y,50,8,P,240,60,123,N,N,N,600,0,0
350,F,S,22,Y,31,6,P,240,12,654,N,N,N,310,0,0
351,F,C,29,Y,50,12,P,48,12,125,N,N,N,1500,0,0
352,M,S,36,Y,31,8,P,120,72,707,N,N,N,289,0,0
356,F,S,23,Y,31,25,P,276,48,113,N,N,N,380,0,0
358,F,C,42,Y,31,18,A,60,144,131,N,N,N,250,0,0
362,F,O,20,N,50,20,P,12,12,40,N,N,N,320,0,1
364,F,C,25,N,31,12,P,12,0,950,N,N,N,380,0,1
366,M,V,52,N,31,18,P,60,24,13,N,N,N,213,0,0
369,M,S,21,Y,31,1,P,252,60,60,N,N,N,227,0,0
371,F,C,47,N,31,8,P,180,228,165,N,N,N,550,0,0
376,F,S,24,Y,50,12,A,36,36,950,N,N,N,350,0,0
380,M,S,28,Y,31,12,P,336,12,514,N,N,N,409,0,0
386,F,V,57,Y,31,28,P,456,120,703,N,N,N,284,0,0
391,F,S,38,Y,31,18,P,240,12,801,N,N,N,305,0,0
398,F,O,34,Y,31,12,P,120,0,950,N,N,N,650,0,0
402,F,S,20,Y,31,3,P,120,36,43,N,N,N,200,0,1
409,F,S,22,Y,31,8,P,300,120,704,N,N,N,1622,2,0
413,M,C,37,Y,31,28,P,240,192,706,N,N,N,700,0,1
414,M,C,41,Y,31,18,P,180,216,38,N,N,N,850,1,0
416,M,S,20,N,50,20,P,84,0,950,N,N,N,240,0,1
419,F,S,22,N,31,18,O,12,12,40,N,N,N,200,0,0
420,F,C,34,Y,31,18,P,36,0,255,N,N,N,900,0,0
421,M,S,36,N,50,25,C,216,0,26,N,N,N,360,0,0
424,F,S,33,Y,50,12,P,0,324,704,N,N,N,894,0,1
429,F,S,57,N,31,8,A,12,60,205,N,N,N,360,0,0
431,F,O,34,Y,31,28,P,192,48,717,N,N,N,4000,0,0
432,F,C,56,Y,31,8,P,0,0,13,N,N,N,1200,0,0
434,F,S,39,Y,31,25,P,240,12,165,N,N,N,200,0,1
436,F,D,49,N,31,18,P,480,12,704,N,N,N,370,0,0
439,M,S,18,Y,31,8,C,228,0,305,N,N,N,640,0,1
441,M,S,23,Y,50,12,C,276,24,30,N,N,N,274,0,1
442,F,C,33,N,50,12,P,72,72,950,N,N,N,800,0,0
443,F,C,39,N,31,18,P,456,120,165,N,N,N,200,0,0
444,F,S,24,Y,31,28,C,24,0,702,N,N,N,1000,0,1
446,F,C,36,Y,31,18,A,12,72,712,N,N,N,409,0,0
453,M,C,22,N,50,28,P,12,48,999,N,N,N,215,0,0
455,M,C,33,Y,31,23,P,24,12,60,N,N,N,600,0,0
458,F,C,34,Y,31,23,P,12,36,305,N,N,N,600,0,0
463,M,S,20,Y,50,28,P,12,12,39,N,N,N,300,0,1
465,M,S,22,N,5,12,P,12,12,26,N,N,N,224,0,0
466,M,C,62,Y,31,12,P,72,108,13,N,N,N,613,1,1
468,F,V,34,Y,31,8,P,96,12,801,N,N,N,470,0,0
469,M,C,43,Y,31,20,P,96,24,999,N,N,N,698,1,0
472,F,S,34,Y,50,18,P,84,60,38,N,N,N,450,0,0
475,M,C,34,Y,31,8,P,84,24,521,N,N,N,477,0,0
478,F,S,23,Y,31,12,P,252,0,999,N,N,N,1000,0,0
479,M,C,35,Y,31,25,P,420,12,522,N,N,N,720.37,0,0
482,M,S,19,Y,50,20,P,60,60,26,N,N,N,500,0,0
484,F,S,42,Y,31,12,P,240,36,131,N,N,N,500,0,0
488,F,S,62,Y,5,18,P,420,0,855,N,N,N,317,0,0
490,F,C,43,Y,31,8,P,48,216,999,N,N,N,1720,0,0
491,F,S,30,N,31,8,P,348,0,26,N,N,N,405,0,0
495,F,C,46,Y,31,25,P,180,36,205,N,N,N,180,0,0
496,F,C,45,Y,31,12,P,36,60,703,N,N,N,500,0,0
498,F,C,39,Y,31,8,P,120,204,713,N,N,N,730,0,0
500,F,S,32,Y,31,18,P,180,0,853,N,N,N,310,0,0
501,M,S,19,Y,31,25,P,228,36,654,N,N,N,350,0,1
502,F,V,66,N,31,18,P,180,0,703,N,N,N,180,0,1
503,F,V,59,Y,23,12,P,156,180,131,N,N,N,800,0,0
506,F,S,23,Y,5,8,P,276,84,717,N,N,N,500,0,0
507,F,C,53,Y,31,20,A,48,288,999,N,N,N,3281,0,0
511,F,S,22,Y,31,20,C,264,24,305,N,N,N,1500,0,1
512,M,C,37,Y,5,23,A,120,36,113,N,N,N,2600,1,0
513,M,S,24,Y,49,23,A,12,36,263,N,N,N,1445,1,0
514,M,C,51,Y,31,12,P,156,120,13,N,N,N,780,1,0
516,F,S,19,Y,31,18,P,180,36,999,N,N,N,240,0,0
518,F,C,48,Y,31,20,P,264,36,703,N,N,N,258,0,0
522,F,O,37,Y,31,18,P,120,0,165,N,N,N,580,0,0
523,F,V,46,Y,31,12,P,288,48,855,N,N,N,201,0,0
524,F,C,53,N,31,23,P,48,24,205,N,N,N,510,1,0
525,F,C,35,Y,50,18,P,48,12,713,N,N,N,500,2,0
526,F,C,47,N,31,23,P,72,0,703,N,N,N,180,0,0
527,M,D,33,Y,31,18,P,408,96,915,N,N,N,1350,0,0
528,F,C,43,Y,31,28,P,204,12,60,N,N,N,200,0,0
534,F,S,36,Y,50,28,P,420,0,732,N,N,N,355,0,1
540,F,C,29,Y,31,12,P,24,48,38,N,N,N,398,0,1
542,M,O,22,Y,31,8,P,264,0,950,N,N,N,250,0,1
545,M,C,57,Y,31,18,P,180,48,13,N,N,N,5700,1,0
546,M,C,38,Y,31,12,P,36,0,717,N,N,N,1500,1,1
548,F,S,24,Y,31,20,C,288,24,999,N,N,N,305,0,0
550,F,S,19,Y,31,28,C,132,36,804,N,N,N,600,0,1
551,F,C,53,Y,31,8,P,24,120,999,N,N,N,400,0,0
552,F,S,43,Y,31,8,P,480,12,999,N,N,N,300,0,0
553,F,C,31,Y,31,18,P,24,120,205,N,N,N,360,0,0
558,F,S,21,Y,31,23,P,252,12,30,N,N,N,260,0,0
561,F,S,45,Y,31,18,P,0,60,711,N,N,N,1058,0,0
562,F,S,42,Y,50,18,P,48,24,72,N,N,N,540,0,0
565,F,S,24,Y,31,28,P,276,24,950,N,N,N,600,0,1
566,F,S,21,Y,31,8,P,252,84,131,N,N,N,260,0,0
567,F,S,18,Y,31,25,P,12,0,999,N,N,N,300,0,1
569,F,V,56,Y,31,12,P,276,12,703,N,N,N,800,0,0
570,M,S,18,Y,50,20,C,216,12,137,N,N,N,400,0,0
571,F,D,44,Y,5,25,P,84,300,305,N,N,N,1704,2,0
574,F,O,39,Y,31,16,P,48,120,166,N,N,N,350,0,0
575,F,S,19,N,50,28,A,12,12,205,N,N,N,200,0,0
578,M,S,22,Y,31,8,P,264,12,30,N,N,N,200,0,0
579,F,C,43,Y,31,18,P,168,24,501,N,N,N,500,0,0
584,M,O,36,Y,31,3,A,0,192,31,N,N,N,920,0,0
585,F,S,19,Y,31,25,P,228,60,732,N,N,N,480,0,1
586,F,S,44,Y,50,20,P,240,24,35,N,N,N,404,0,0
588,F,O,26,Y,31,25,P,108,12,713,N,N,N,516,0,0
592,F,S,19,Y,5,12,P,216,12,853,N,N,N,180,0,0
593,M,S,34,N,50,8,P,0,204,514,N,N,N,960,0,0
599,F,C,52,Y,50,8,P,156,168,35,N,N,N,595,1,1
601,F,S,45,N,50,20,P,360,36,165,N,N,N,460,0,1
606,F,S,19,Y,50,18,P,120,12,950,N,N,N,350,0,0
608,M,C,42,Y,5,12,P,36,0,13,N,N,N,776,0,0
609,F,S,19,Y,50,8,C,180,0,950,N,N,N,500,0,0
615,F,S,25,Y,31,18,P,324,0,953,N,N,N,361,0,0
623,M,S,21,N,50,28,A,60,0,721,N,N,N,180,0,0
626,M,C,32,N,31,20,P,216,36,123,N,N,N,220,0,0
627,F,S,47,Y,31,3,P,36,12,713,N,N,N,1520,1,0
631,F,C,50,Y,31,12,P,156,0,131,N,N,N,450,0,1
632,F,C,22,Y,31,18,P,300,0,950,N,N,N,300,0,0
635,F,S,19,Y,31,22,A,24,36,501,N,N,N,200,0,0
637,F,C,48,Y,31,23,P,48,0,999,N,N,N,1531,0,0
638,F,V,58,Y,31,8,P,12,372,713,N,N,N,383,2,0
644,M,C,69,Y,31,18,P,360,468,133,N,N,N,963,1,0
647,M,O,28,N,50,20,P,24,0,999,N,N,N,350,0,0
649,M,C,73,Y,31,12,P,12,480,13,N,N,N,948,0,0
652,M,S,19,Y,31,8,C,228,0,514,N,N,N,180,0,0
654,F,S,36,Y,31,11,P,216,24,801,N,N,N,450,0,0
656,M,C,24,Y,31,1,P,12,48,49,N,N,N,390,0,0
657,F,O,26,Y,31,12,P,96,0,305,N,N,N,5000,1,1
662,M,S,22,N,50,28,P,264,12,254,N,N,N,220,0,1
664,F,S,31,N,50,20,P,120,60,950,N,N,N,450,0,0
665,F,S,38,Y,31,12,P,444,60,40,N,N,N,200,0,0
670,F,C,56,Y,50,12,P,300,120,131,N,N,N,300,0,0
674,M,C,30,Y,31,8,O,96,96,707,N,N,N,1250,0,0
681,F,D,39,N,50,1,P,468,36,100,N,N,N,700,0,0
682,M,C,34,Y,5,28,P,60,120,301,N,N,N,180,0,0
688,F,D,41,Y,31,28,O,492,24,999,N,N,N,286,0,0
689,F,S,47,Y,31,8,P,420,96,60,N,N,N,450,0,0
691,M,S,19,Y,31,3,C,96,12,305,N,N,N,500,0,0
692,F,S,18,Y,31,18,A,216,12,653,N,N,N,260,0,1
699,M,C,29,Y,31,12,P,264,12,521,N,N,N,850,0,1
700,F,C,31,N,31,12,P,48,24,38,N,N,N,1425,0,1
701,F,S,19,Y,31,20,C,228,12,40,N,N,N,479,0,0
703,F,C,22,Y,31,12,P,24,0,950,N,N,N,600,0,0
706,M,S,32,Y,31,20,P,240,36,25,N,N,N,705,0,1
710,M,C,42,Y,31,28,P,60,180,999,N,N,N,983,1,0
714,F,C,27,N,50,12,P,84,12,123,N,N,N,278,0,0
715,F,C,28,N,50,25,P,240,0,950,N,N,N,800,0,0
716,F,S,18,Y,31,8,P,216,12,24,N,N,N,248,0,0
721,F,S,18,Y,31,12,P,12,0,703,N,N,N,993,0,0
727,F,C,43,Y,5,12,A,180,0,165,N,N,N,300,0,1
728,F,S,20,Y,31,12,P,192,0,999,N,N,N,200,0,0
731,F,S,24,Y,31,28,P,48,12,717,N,N,N,1000,2,1
733,M,C,42,N,50,25,P,360,48,105,N,N,N,401,0,1
734,M,S,20,Y,31,18,P,12,12,950,N,N,N,300,0,0
736,M,C,64,Y,31,18,P,360,120,13,N,N,N,840,2,0
737,M,S,22,Y,31,20,A,12,12,301,N,N,N,253,0,1
743,F,S,25,N,50,18,P,300,60,205,N,N,N,180,0,1
744,F,S,18,Y,31,28,A,24,0,40,N,N,N,300,0,1
747,F,C,38,Y,31,18,P,12,0,712,N,N,N,517,0,0
749,F,C,40,Y,31,18,P,240,24,950,N,N,N,493,0,0
752,F,C,31,Y,31,25,P,96,60,950,N,N,N,800,0,1
753,F,S,27,Y,31,12,P,324,24,38,N,N,N,400,0,0
755,F,S,27,N,31,23,P,24,12,60,N,N,N,300,0,0
756,F,C,30,Y,31,12,P,360,60,131,N,N,N,250,0,1
757,F,C,49,Y,31,28,P,48,24,950,N,N,N,461,0,0
758,F,C,41,Y,31,28,P,180,60,43,N,N,N,2500,0,0
759,F,S,30,N,50,8,P,180,0,205,N,N,N,270,0,1
761,F,C,49,Y,31,20,P,312,60,205,N,N,N,180,0,0
763,M,O,43,Y,31,8,A,12,12,863,N,N,N,574,0,0
776,F,S,52,Y,31,18,P,12,12,13,N,N,N,209,0,0
778,F,S,23,Y,5,20,P,216,0,853,N,N,N,250,0,0
779,F,S,18,N,50,25,P,0,24,61,N,N,N,500,0,1
781,F,S,20,Y,31,8,P,12,36,950,N,N,N,600,0,0
784,F,C,54,Y,23,18,P,360,228,712,N,N,N,600,0,1
786,M,S,34,Y,31,12,A,96,12,999,N,N,N,546,0,0
789,F,S,24,Y,31,18,C,12,36,712,N,N,N,180,0,0
790,F,S,21,Y,50,18,P,72,12,60,N,N,N,197,0,0
794,M,C,34,Y,31,12,P,120,0,522,N,N,N,760,1,0
799,F,S,18,Y,31,12,A,12,12,950,N,N,N,225,0,1
802,M,S,27,Y,50,23,C,336,0,522,N,N,N,720,1,0
803,F,V,47,Y,31,28,P,120,216,139,N,N,N,326,0,0
804,F,C,41,Y,50,8,P,288,120,950,N,N,N,1500,0,0
806,F,S,53,N,31,18,P,24,0,703,N,N,N,276,0,1
807,F,S,29,N,50,8,P,12,36,72,N,N,N,300,0,0
811,M,S,29,N,50,25,P,24,0,26,N,N,N,362,0,0
819,F,S,45,Y,31,20,P,48,0,66,N,N,N,180,0,0
820,M,C,39,Y,31,8,P,36,132,222,N,N,N,1248,1,0
822,F,S,35,Y,31,23,P,144,12,131,N,N,N,450,0,0
824,F,C,23,Y,31,25,P,72,12,205,N,N,N,230,0,0
827,M,S,18,Y,5,12,C,108,0,110,N,N,N,412,0,0
828,M,C,38,Y,31,8,P,48,228,514,N,N,N,2000,1,0
833,F,S,26,Y,50,1,A,12,12,801,N,N,N,700,0,0
834,F,S,39,Y,31,8,P,60,144,108,N,N,N,1349,0,0
838,F,S,25,Y,31,28,P,96,0,100,N,N,N,400,0,1
839,F,S,36,N,50,3,P,12,24,39,N,N,N,358,0,1
845,F,S,39,N,31,12,P,348,0,165,N,N,N,200,0,0
852,F,S,22,N,50,23,A,0,0,950,N,N,N,270,0,1
853,F,S,23,Y,31,12,P,276,12,62,N,N,N,250,0,0
854,F,C,44,Y,31,28,P,480,36,113,N,N,N,5000,0,1
856,F,S,21,Y,31,12,P,180,12,950,N,N,N,500,1,0
857,F,S,22,Y,31,28,P,120,24,60,N,N,N,341,0,0
858,F,S,33,N,50,28,P,120,0,40,N,N,N,230,0,0
859,F,S,25,Y,31,18,A,0,84,165,N,N,N,360,0,0
860,F,S,19,Y,50,8,A,240,0,999,N,N,N,800,0,0
862,F,C,71,Y,31,18,P,24,12,13,N,N,N,180,0,0
864,F,O,43,Y,31,18,O,108,180,713,N,N,N,1225,0,0
866,F,S,50,Y,31,18,P,396,0,34,N,N,N,665,0,0
867,F,D,50,Y,5,12,O,240,36,26,N,N,N,300,0,0
868,F,C,49,N,31,12,P,156,168,205,N,N,N,300,0,1
869,M,C,66,Y,31,18,P,36,12,13,N,N,N,864,0,0
871,F,C,56,Y,31,12,P,240,60,35,N,N,N,959,0,0
872,F,C,57,Y,31,12,P,48,12,13,N,N,N,900,0,0
874,F,S,59,Y,31,18,P,324,24,703,N,N,N,700,1,0
876,F,S,24,N,31,8,C,60,24,131,N,N,N,230,0,0
882,F,C,36,N,50,3,P,48,12,251,N,N,N,244,0,1
883,F,V,58,Y,31,18,P,240,324,999,N,N,N,417,0,0
892,F,C,27,Y,31,12,P,24,12,19,N,N,N,519,0,0
893,F,C,40,Y,31,12,P,300,0,725,N,N,N,1300,0,0
895,F,O,56,Y,31,8,P,84,360,165,N,N,N,200,0,1
898,F,C,39,Y,31,28,P,120,12,305,N,N,N,2800,1,0
901,F,C,42,Y,31,8,A,132,96,8,N,N,N,500,0,0
904,M,O,26,Y,31,20,A,24,0,113,N,N,N,300,0,1
907,M,C,24,N,50,12,A,12,12,521,N,N,N,500,0,0
908,F,C,51,Y,50,12,P,60,12,130,N,N,N,204,0,0
910,M,C,25,N,50,25,P,36,24,855,N,N,N,370,0,0
918,F,C,23,N,31,8,A,12,24,38,N,N,N,770,0,0
919,M,C,19,N,50,12,P,12,0,137,N,N,N,0,0,1
921,F,C,51,Y,31,25,P,12,0,13,N,N,N,960,0,0
923,F,C,41,Y,31,25,P,444,144,52,N,N,N,1500,0,0
927,F,C,44,Y,31,1,A,12,120,99,N,N,N,4725,0,0
929,F,O,28,Y,31,12,P,12,96,713,N,N,N,804,0,0
931,F,C,47,Y,31,25,P,180,96,525,N,N,N,268,0,0
933,F,D,23,Y,5,28,A,12,0,950,N,N,N,902,0,0
934,F,S,24,N,31,12,C,204,36,24,N,N,N,225,0,0
935,F,S,47,Y,31,8,P,96,228,999,N,N,N,2607,0,0
937,F,S,38,N,50,18,P,60,36,855,N,N,N,221,0,0
941,F,O,46,Y,31,12,P,72,300,40,N,N,N,938,0,1
949,F,S,38,N,50,3,P,156,72,855,N,N,N,355,0,1
953,M,S,35,N,31,8,A,24,48,159,N,N,N,1100,0,1
954,F,S,41,Y,31,18,P,492,12,999,N,N,N,260,0,0
955,M,S,20,N,50,12,C,240,48,39,N,N,N,800,0,1
959,M,C,30,Y,31,12,P,36,24,301,N,N,N,200,0,0
961,F,V,58,Y,31,12,A,60,324,855,N,N,N,579,0,0
963,M,C,43,N,31,18,P,168,12,522,N,N,N,653,1,1
964,F,C,36,Y,31,25,P,84,0,950,N,N,N,400,0,0
966,F,C,20,Y,31,8,P,96,24,950,N,N,N,300,0,0
968,M,O,42,N,50,20,P,108,96,30,N,N,N,328,0,0
969,M,C,42,Y,31,3,P,228,60,508,N,N,N,1320,0,0
972,F,C,27,Y,31,8,P,60,36,65,N,N,N,650,0,0
975,M,S,24,Y,5,20,P,288,12,953,N,N,N,420,0,0
980,F,S,45,Y,31,18,P,60,60,205,N,N,N,300,0,0
993,F,S,23,Y,31,3,C,276,24,213,N,N,N,800,1,0
994,M,S,18,N,50,28,C,216,12,26,N,N,N,203,0,1
998,M,C,42,N,50,8,P,84,156,521,N,N,N,888,1,0
1002,F,C,40,Y,31,8,O,12,12,18,N,N,N,525,0,0
1004,M,S,37,Y,23,12,C,144,0,702,N,N,N,350,0,0
1009,M,S,22,Y,31,12,C,264,84,514,N,N,N,700,0,0
1010,F,C,43,N,50,18,P,168,72,35,N,N,N,199,0,0
1012,F,S,24,Y,31,18,P,300,72,123,N,N,N,500,0,1
1015,F,S,27,Y,23,25,O,108,36,205,N,N,N,284,0,0
1017,F,C,37,Y,31,25,P,12,144,29,N,N,N,292,0,0
1019,F,C,30,Y,31,8,P,24,24,139,N,N,N,1800,0,0
1021,F,S,42,Y,31,20,P,96,12,222,N,N,N,1200,0,0
1023,F,S,31,Y,31,8,A,84,132,205,N,N,N,180,0,0
1024,F,C,19,Y,31,18,P,60,24,205,N,N,N,300,0,1
1025,F,S,32,Y,50,23,P,384,96,712,N,N,N,345,0,0
1027,F,C,22,N,50,28,A,24,0,801,N,N,N,200,0,0
1028,F,C,33,Y,31,20,P,84,12,999,N,N,N,200,0,0
